round,train,validation,gap
191,0.08341570424853169,0.09389210740558947,0.010476403157057779
192,0.08339762182866792,0.09388440833930557,0.010486786510637655
193,0.08337748612292893,0.0938803250241424,0.010502838901213465
194,0.08335211425761518,0.09387109259411276,0.010518978336497578
195,0.08333532456930737,0.09386390445915835,0.01052857988985098
196,0.08331892335941812,0.0938578141806106,0.01053889082119247
197,0.08330208376978944,0.09386104312913364,0.0105589593593442
198,0.08328679014011169,0.09385108587889825,0.010564295738786561
199,0.0832663284007744,0.09384575027415448,0.010579421873380082
200,0.08324984554123473,0.093842488149838,0.010592642608603278
201,0.08323071606478767,0.09383864025784727,0.0106079241930596
202,0.08321349074464456,0.09382958813493504,0.010616097390290485
203,0.08319223957506261,0.09381165319494593,0.01061941361988332
204,0.08318058642582447,0.09381209785807351,0.010631511432249038
205,0.08316898218963857,0.0938155489262179,0.010646566736579335
206,0.08314972864335528,0.09380723368945686,0.010657505046101579
207,0.08313673325281108,0.09381718332083931,0.01068045006802823
208,0.08312208409440046,0.09381050967024193,0.010688425575841473
209,0.08310448098019722,0.09380958944499268,0.010705108464795457
210,0.08308903513058863,0.09380927264814128,0.010720237517552647
211,0.08307420976561103,0.09381613218302194,0.010741922417410912
212,0.08305783386874617,0.09381357998081745,0.01075574611207128
213,0.08304346221317985,0.09380827743741205,0.0107648152242322
214,0.0830268011385853,0.09380490277938756,0.01077810164080227
215,0.08301358626145455,0.09380882569304606,0.01079523943159151
216,0.0829983489573756,0.09380804292100949,0.01080969396363389
217,0.08298294237705439,0.09380381452417774,0.01082087214712335
218,0.08297088908298302,0.09380668265769668,0.010835793574713662
219,0.08295541054314362,0.09380868388411437,0.010853273340970748
220,0.08293199068329009,0.09379757264174386,0.010865581958453774
221,0.08291857029117804,0.0938009988184663,0.010882428527288268
222,0.08290330605158802,0.09379206822844305,0.010888762176855027
223,0.08289281730855971,0.09379436230403493,0.010901544995475215
224,0.08288412572066377,0.09379617886546451,0.010912053144800746
225,0.08286843391622448,0.09379656256080779,0.010928128644583313
226,0.08285363203506119,0.09379664886589169,0.010943016830830501
227,0.08283854813692407,0.09380076619748037,0.010962218060556306
228,0.0828219793244366,0.0938002309343591,0.010978251609922496
229,0.08280724695448377,0.09379771927082184,0.010990472316338068
230,0.08279088696144422,0.09379986569482328,0.011008978733379055
231,0.08277819683092294,0.0937938406827631,0.01101564385184016
232,0.0827598326985287,0.09378903859502281,0.011029205896494115
233,0.08274510048756878,0.09378670895242013,0.011041608464851346
234,0.08273170464199767,0.0937759326166217,0.011044227974624038
235,0.0827194720732452,0.09377928653182405,0.011059814458578843
236,0.08270751442349358,0.0937847189691045,0.01107720454561091
237,0.08269925677499747,0.09378572523973966,0.011086468464742191
238,0.08267936435741857,0.09377784292110158,0.011098478563683012
239,0.08266362741504446,0.09377536865250177,0.011111741237457312
240,0.0826514626345053,0.09377565311963983,0.011124190485134522
241,0.08263835688163934,0.09376303124972758,0.011124674368088242
242,0.08262621918446639,0.09376801112211154,0.011141791937645154
243,0.08260836888218616,0.09376504833351731,0.011156679451331156
244,0.08259122015041837,0.09376384748995167,0.011172627339533309
245,0.08257579783341726,0.09376376471038485,0.01118796687696759
246,0.08256764947050613,0.0937638133210901,0.011196163850583973
247,0.08255647392104118,0.09376358005709658,0.011207106136055398
248,0.0825410702036259,0.09376894114706784,0.011227870943441937
249,0.08253020304335115,0.09376871537418985,0.011238512330838696
250,0.08251835634551336,0.09376865957182337,0.011250303226310016
251,0.08251053257547357,0.09376757780743673,0.011257045231963164
252,0.08250344966004011,0.09376762968876455,0.011264180028724438
253,0.08249202530506822,0.09376630649123434,0.011274281186166121
254,0.08248237914393977,0.09376861629341866,0.011286237149478892
255,0.0824664818370484,0.09376602251837458,0.011299540681326187
256,0.08245690680558466,0.09376997044454764,0.011313063638962978
257,0.082443567984219,0.09377320618818472,0.011329638203965722
258,0.08243502684297935,0.09377188211472774,0.011336855271748394
259,0.08242308212141494,0.09376686488913204,0.011343782767717095
260,0.08240846425278917,0.09376972954689625,0.011361265294107081
261,0.0824007599390252,0.09377402747686654,0.011373267537841347
262,0.08238896432214912,0.09377236734806227,0.011383403025913147
263,0.08238120485942761,0.0937735906714485,0.011392385812020886
264,0.0823728391482194,0.09377199436984712,0.011399155221627724
265,0.08235989396416597,0.09377321048086668,0.011413316516700703
266,0.0823521147537953,0.09377751746770935,0.011425402713914054
267,0.08234361612574266,0.09377802178855095,0.011434405662808289
268,0.08233027486388984,0.09377873108063992,0.011448456216750072
269,0.08231858924028179,0.09378163921721103,0.011463049976929235
270,0.08230766347582699,0.09378440567545576,0.01147674219962877
271,0.08229390603288486,0.09378462893697415,0.011490722904089284
272,0.08228601427373827,0.09378262704726441,0.011496612773526135
273,0.08227844505472527,0.09378023779703734,0.01150179274231207
274,0.08227010851445542,0.0937817121596454,0.01151160364518998
275,0.08225590203725834,0.09378264767478653,0.011526745637528188
276,0.08224576885357865,0.09378110156783029,0.01153533271425164
277,0.08223619223539952,0.09377982558736686,0.011543633351967342
278,0.08222003870635462,0.0937721842290616,0.011552145522706975
279,0.08221147048741985,0.09377244488630916,0.011560974398889312
280,0.08220061838485779,0.09377148131917554,0.01157086293431775
281,0.08218662788539985,0.09377112712733206,0.011584499241932208
282,0.08217332081094461,0.09377190992806098,0.011598589117116365
283,0.08216398324194758,0.09377030393809624,0.011606320696148656
284,0.08215239656587964,0.09377065951072018,0.011618262944840543
285,0.08214057018412135,0.09377206909283962,0.011631498908718271
286,0.08212908218640241,0.09376997626989558,0.01164089408349317
287,0.08212184047363949,0.09377312979543355,0.011651289321794059
288,0.08210346721296642,0.0937669741373212,0.011663506924354777
289,0.08208810122071149,0.09376706895586713,0.011678967735155643
290,0.08207944253660301,0.09376939441875586,0.011689951882152841
291,0.08206896915796004,0.09377800870126153,0.011709039543301492
292,0.08205658104806238,0.09376853533098586,0.011711954282923487
293,0.0820453417099852,0.09376972142797056,0.011724379717985359
294,0.08203401444710227,0.09377159103538732,0.011737576588285045
295,0.08202086773952261,0.09376583641988732,0.011744968680364717
296,0.08200783752798377,0.09376643165043023,0.011758594122446467
297,0.08199888145611915,0.09376822081159795,0.011769339355478803
298,0.08198952115790516,0.09377124931667441,0.011781728158769253
299,0.0819804375460821,0.09377166735722035,0.011791229811138254
300,0.08196958949858134,0.09377053486325271,0.01180094536467137
301,0.08196296933894442,0.09377040237178055,0.011807433032836129
302,0.08194938111489079,0.093763364481081,0.011813983366190203
