round,train,validation,gap
247,0.07744593768873728,0.09109018170958913,0.013644244020851848
248,0.07742832031576175,0.09108992891429378,0.013661608598532035
249,0.07741350522384478,0.09109634656422505,0.013682841340380267
250,0.07740077667039794,0.09109796430756559,0.013697187637167652
251,0.07738335192614754,0.09109764349889443,0.013714291572746895
252,0.0773677498376317,0.09110107719628147,0.013733327358649766
253,0.07735229238030565,0.09110756171528445,0.013755269334978795
254,0.0773339328422636,0.09110526417892557,0.013771331336661974
255,0.07731785267734934,0.09110447707697936,0.01378662439963002
256,0.07730025239677116,0.09110041385807138,0.013800161461300225
257,0.07728284270905336,0.09109354940702051,0.013810706697967148
258,0.07726849009160836,0.09109569848106909,0.013827208389460735
259,0.07724998685220498,0.09110022802890498,0.013850241176700001
260,0.0772319810446249,0.0910975633248239,0.01386558228019899
261,0.07721855076038586,0.09109441681384742,0.013875866053461555
262,0.0771938863066362,0.09109395001643925,0.01390006370980304
263,0.07717660138901483,0.09108630368351936,0.013909702294504528
264,0.07716339066132769,0.09108611458439583,0.013922723923068148
265,0.07714864051698773,0.09108828240862112,0.01393964189163338
266,0.07713299590232717,0.09108599469737347,0.0139529987950463
267,0.07711798677988664,0.09108460754257382,0.013966620762687176
268,0.0771070516181075,0.09108855156019824,0.013981499942090733
269,0.07709438218559572,0.09109027744902366,0.01399589526342794
270,0.0770753080285211,0.0910943344698616,0.014019026441340496
271,0.07706554381679445,0.09109998891046159,0.014034445093667136
272,0.07705220397852508,0.09110262823377205,0.014050424255246968
273,0.0770366526523948,0.09110503365903141,0.014068381006636613
274,0.07702214210453334,0.09109300455506267,0.014070862450529326
275,0.07700218520989253,0.09109063818264007,0.014088452972747537
276,0.07698841190094333,0.0910913115246636,0.014102899623720272
277,0.07696947622346471,0.09108672282310781,0.014117246599643099
278,0.07695639817696154,0.09108373603132369,0.014127337854362154
279,0.07694693423715099,0.09108507346716835,0.01413813923001736
280,0.07693501192417053,0.09108746805831966,0.01415245613414913
281,0.07691979783626125,0.09108523693991893,0.014165439103657682
282,0.07690536105853674,0.09108174388722662,0.014176382828689882
283,0.07689202785625945,0.09108527685742583,0.014193249001166378
284,0.07688071782921917,0.0910856441775382,0.014204926348319033
285,0.07686669636728806,0.09108791374024672,0.014221217372958658
286,0.07685380608971387,0.09108527245648716,0.01423146636677329
287,0.07684153926310185,0.09108902862653033,0.014247489363428484
288,0.07682325914945967,0.09108149838900556,0.014258239239545889
289,0.07680954936226587,0.09108228914196316,0.014272739779697285
290,0.07679687970834892,0.09106878121499963,0.014271901506650711
291,0.07678632122522028,0.09107393052198241,0.014287609296762135
292,0.0767724791047955,0.0910737920166949,0.0143013129118994
293,0.07676354082910182,0.09107237707958293,0.014308836250481113
294,0.07674543300880968,0.09107643361588495,0.014331000607075275
295,0.07672661467577586,0.09107361064179242,0.01434699596601656
296,0.07671272152064836,0.09107556889945345,0.014362847378805096
297,0.07669773387242919,0.09107867719015127,0.014380943317722078
298,0.0766829398096602,0.09107947225330139,0.014396532443641183
299,0.07666590396188723,0.09108405368633357,0.014418149724446341
